Title,Author,Author l-f,my_rating,average_rating,pages,publication_year,Date Added,target,genre_1,Genre2,features
Notes from Underground,Fyodor Dostoevsky,"Dostoevsky, Fyodor",5,4.17,136,1864,2/3/23,7, Fiction , Classic ,4.17 136 1864
The Castle,Franz Kafka,"Kafka, Franz",5,3.92,328,1926,2/3/23,7, Fiction , Absurdist Literature,3.92 328 1926
Dandelion Wine,Ray Bradbury,"Bradbury, Ray",5,4.09,239,1957,11/10/23,7, Fiction , Fantasy ,4.09 239 1957
The Trial,Franz Kafka,"Kafka, Franz",5,3.94,255,1925,2/3/23,7, Fiction , Absurdist Literature,3.94 255 1925
Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor",5,4.28,671,1866,11/10/23,7, Fiction , Classic ,4.28 671 1866
The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor",5,4.39,796,1880,2/3/23,7, Fiction , Classic ,4.39 796 1880
East of Eden,John Steinbeck,"Steinbeck, John",5,4.43,601,1952,2/3/23,7, Fiction , Classic,4.43 601 1952
Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",5,4.16,532,1847,2/3/23,7, Fiction , Classic ,4.16 532 1847
The Idiot,Fyodor Dostoevsky,"Dostoevsky, Fyodor",5,4.21,667,1869,2/3/23,7, Fiction , Classic ,4.21 667 1869
Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",5,4.23,311,1966,11/10/23,7, Fiction , Science Fiction ,4.23 311 1966
Our Lady of the Flowers,Jean Genet,"Genet, Jean",5,4.01,216,1943,11/10/23,7, Fiction , LGBTQ+ ,4.01 216 1943
The Overcoat,Nikolai Gogol,"Gogol, Nikolai",5,4.15,57,1842,11/10/23,7, Fiction , Classic ,4.15 57 1842
The Moon and Sixpence,W. Somerset Maugham,"Maugham, W. Somerset",5,4.12,187,1919,2/3/23,7, Fiction , Classic ,4.12 187 1919
The Book Thief,Markus Zusak,"Zusak, Markus",5,4.39,592,2005,2/3/23,7, Fiction , Historical ,4.39 592 2005
The Bell Jar,Sylvia Plath,"Plath, Sylvia",5,4.05,294,1963,2/3/23,7, Fiction , Classic ,4.05 294 1963
A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",5,4.45,372,2007,11/10/23,7, Fiction , Contemporary ,4.45 372 2007
Of Human Bondage,W. Somerset Maugham,"Maugham, W. Somerset",5,4.15,684,1915,2/3/23,7, Fiction , Classic ,4.15 684 1915
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",5,3.89,260,1818,2/3/23,7, Fiction , Gothic ,3.89 260 1818
On the Road,Jack  Kerouac,"Kerouac, Jack",5,3.9,327,1957,11/11/23,7, Fiction , Beat Generation ,3.9 327 1957
Letters to a Young Poet,Rainer Maria Rilke,"Rilke, Rainer Maria",5,4.28,80,1929,11/10/23,11, Letters , Poetry,4.28 80 1929
Data Feminism,Catherine D'Ignazio,"D'Ignazio, Catherine",5,4.3,328,2020,11/10/23,13, Non-fiction , Data Science ,4.3 328 2020
Design Justice: Community-Led Practices to Build the Worlds We Need,Sasha Costanza-Chock,"Costanza-Chock, Sasha",5,4.17,360,2020,11/10/23,13, Non-fiction , Design ,4.17 360 2020
Machine Habitus: Toward a Sociology of Algorithms,Massimo Airoldi,"Airoldi, Massimo",5,4.17,200,2021,11/10/23,13, Non-fiction , Sociology ,4.17 200 2021
The Prophet (Illustrated): Masterpiece of The Great Philosopher Khalil Gibran (The prophet by Khalil Gibran),Kahlil Gibran,"Gibran, Kahlil",5,4.23,83,1923,2/3/23,14, Philosophy , Poetry,4.23 83 1923
The Myth of Sisyphus and Other Essays,Albert Camus,"Camus, Albert",5,4.22,212,1942,11/10/23,14, Philosophy , Essays,4.22 212 1942
Power,Michel Foucault,"Foucault, Michel",5,4.28,528,2000,11/10/23,14, Philosophy , Sociology,4.28 528 2000
Letters from a Stoic,Seneca,"Seneca, Seneca",5,4.33,254,64,11/10/23,14, Philosophy , Classical,4.33 254 64
The Myth of Sisyphus,Albert Camus,"Camus, Albert",5,4.17,192,1942,11/10/23,14, Philosophy , Essay ,4.17 192 1942
On Anger,Seneca,"Seneca, Seneca",5,4.19,241,41,11/10/23,14, Philosophy , Classical ,4.19 241 41
Selected Poems of Ezra Pound,Ezra Pound,"Pound, Ezra",5,3.89,184,1928,11/10/23,15, Poetry,,3.89 184 1928
The Waste Land and Other Poems,T.S. Eliot,"Eliot, T.S.",5,4.22,88,1922,11/10/23,15, Poetry,,4.22 88 1922
A Season in Hell and The Drunken Boat,Arthur Rimbaud,"Rimbaud, Arthur",5,4.32,103,1872,2/3/23,15, Poetry,,4.32 103 1872
Paroles,Jacques Prévert,"Prévert, Jacques",5,4.19,254,1946,11/10/23,15, Poetry,,4.19 254 1946
The Selected Poetry of Rainer Maria Rilke,Rainer Maria Rilke,"Rilke, Rainer Maria",5,4.36,356,1926,2/3/23,15, Poetry,,4.36 356 1926
"Collected Poems, 1909-1962",T.S. Eliot,"Eliot, T.S.",5,4.29,221,1963,11/10/23,15, Poetry,,4.29 221 1963
Poems,Charles Baudelaire,"Baudelaire, Charles",5,4.25,256,1860,11/10/23,15, Poetry,,4.25 256 1860
Rose,Li-Young Lee,"Lee, Li-Young",5,4.31,71,1986,11/10/23,15, Poetry,,4.31 71 1986
Poèmes saturniens,Paul Verlaine,"Verlaine, Paul",5,4.05,222,1866,11/10/23,15, Poetry,,4.05 222 1866
Poésies complètes,Arthur Rimbaud,"Rimbaud, Arthur",5,4.32,288,1872,11/10/23,15, Poetry,,4.32 288 1872
Complete Works,Arthur Rimbaud,"Rimbaud, Arthur",5,4.4,384,1870,11/10/23,15, Poetry,,4.4 384 1870
Four Quartets,T.S. Eliot,"Eliot, T.S.",5,4.37,56,1943,12/27/23,15, Poetry,,4.37 56 1943
The Collected Poems of Emily Dickinson,Emily Dickinson,"Dickinson, Emily",5,4.23,400,1924,2/3/23,15, Poetry,,4.23 400 1924
The Pocket Emily Dickinson (Shambhala Pocket Classics),Emily Dickinson,"Dickinson, Emily",5,4.37,192,1995,11/10/23,15, Poetry,,4.37 192 1995
The Poetry of Rilke,Rainer Maria Rilke,"Rilke, Rainer Maria",5,4.15,720,1978,11/11/23,15, Poetry,,4.15 720 1978
Ariel,Sylvia Plath,"Plath, Sylvia",5,4.19,128,1965,11/10/23,15, Poetry,,4.19 128 1965
The Collected Poems,Sylvia Plath,"Plath, Sylvia",5,4.25,384,1981,11/10/23,15, Poetry,,4.25 384 1981
The Complete Stories and Poems,Edgar Allan Poe,"Poe, Edgar Allan",5,4.4,821,1849,11/10/23,15, Poetry , Short Stories ,4.4 821 1849
The Collected Poems,Langston Hughes,"Hughes, Langston",5,4.36,736,1994,11/10/23,15, Poetry , African-American Literature,4.36 736 1994
The Raven,Edgar Allan Poe,"Poe, Edgar Allan",5,4.29,64,1845,11/10/23,15, Poetry , Gothic,4.29 64 1845
A Season in Hell,Arthur Rimbaud,"Rimbaud, Arthur",5,4.07,95,1873,4/13/25,15, Poetry , French Literature,4.07 95 1873
Arabian Love Poems: Full Arabic and English Texts,Nizar Kabbani,"Kabbani, Nizar",5,4.31,225,1975,11/10/23,15, Poetry , Romance,4.31 225 1975
Twenty Love Poems and a Song of Despair,Pablo Neruda,"Neruda, Pablo",5,4.2,60,1924,2/3/23,15, Poetry , Romance,4.2 60 1924
Leaves of Grass,Walt Whitman,"Whitman, Walt",5,4.11,624,1855,2/3/23,15, Poetry , Classic ,4.11 624 1855
Song of Myself,Walt Whitman,"Whitman, Walt",5,4.16,80,1856,2/3/23,15, Poetry , Classic ,4.16 80 1856
And Still I Rise,Maya Angelou,"Angelou, Maya",5,4.39,112,1978,11/10/23,15, Poetry , Inspirational ,4.39 112 1978
Understanding Power: The Indispensable Chomsky,Noam Chomsky,"Chomsky, Noam",5,4.41,416,2002,11/10/23,16, Political Science , Non-fiction,4.41 416 2002
The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,"Sagan, Carl",5,4.19,271,1977,11/10/23,17, Science Fiction, Popular Science,4.19 271 1977
2001: A Space Odyssey,Arthur C. Clarke,"Clarke, Arthur C.",5,4.18,297,1968,11/10/23,17, Science Fiction,,4.18 297 1968
The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",5,3.59,259,1962,11/10/23,17, Science Fiction , Alternate History,3.59 259 1962
Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",5,4.09,258,1968,11/10/23,17, Science Fiction , Dystopian,4.09 258 1968
Peace Is Every Step: The Path of Mindfulness in Everyday Life,Thich Nhat Hanh,"Hanh, Thich Nhat",5,4.3,134,1992,11/10/23,20, Spirituality , Mindfulness,4.3 134 1992
Be Here Now,Ram Dass,"Dass, Ram",5,4.34,116,1971,11/10/23,20, Spirituality , Non-fiction ,4.34 116 1971
