Title,Author,Author l-f,my_rating,average_rating,pages,publication_year,Date Added,target,genre_1,Genre2,features
Inferno,Dante Alighieri,"Alighieri, Dante",4,4.03,490,1320,2/3/23,4, Epic Poetry , Classic ,4.03 490 1320
The Iliad,Homer,"Homer, Homer",4,3.93,848,-800,11/10/23,4, Epic Poetry , Classic ,3.93 848 -800
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",4,4.43,352,1998,11/10/23,6, Fantasy , Young Adult,4.43 352 1998
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",4.3,4.5,870,2003,11/10/23,6, Fantasy , Young Adult,4.5 870 2003
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",4.4,4.01,183,1968,11/10/23,6, Fantasy , Young Adult,4.01 183 1968
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",4.8,4.62,759,2007,11/10/23,6, Fantasy , Young Adult,4.62 759 2007
"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",4.5,4.47,333,1997,11/10/23,6, Fantasy , Young Adult,4.47 333 1997
Nausea,Jean-Paul Sartre,"Sartre, Jean-Paul",4.6,3.93,178,1938,11/10/23,7, Fiction , Existentialism,3.93 178 1938
Siddhartha,Hermann Hesse,"Hesse, Hermann",4.3,4.08,152,1922,9/10/24,7, Fiction , Philosophical Fiction,4.08 152 1922
The Dharma Bums,Jack Kerouac,"Kerouac, Jack",4.2,3.93,244,1958,11/10/23,7, Fiction , Beat Generation,3.93 244 1958
Les Misérables,Victor Hugo,"Hugo, Victor",4.7,4.21,1463,1862,11/10/23,7, Fiction , Classic ,4.21 1463 1862
Queer,William S. Burroughs,"Burroughs, William S.",4.9,3.49,160,1985,2/3/23,7, Fiction , Experimental,3.49 160 1985
The Stranger,Albert Camus,"Camus, Albert",4.2,4.03,123,1942,2/3/23,7, Fiction , Existentialism,4.03 123 1942
Light in August,William Faulkner,"Faulkner, William",4,3.94,507,1932,2/3/23,7, Fiction , Southern Gothic,3.94 507 1932
The Woman in the Dunes,K_b_ Abe,"Abe, K_b_",4,3.88,241,1962,11/10/23,7, Fiction , Surreal ,3.88 241 1962
"The Hamlet (The Snopes Trilogy, #1)",William Faulkner,"Faulkner, William",4,3.86,409,1940,11/10/23,7, Fiction , Southern Gothic,3.86 409 1940
The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke,"Rilke, Rainer Maria",4,3.93,237,1910,2/3/23,7, Fiction , Modernist Literature,3.93 237 1910
After Many a Summer Dies the Swan,Aldous Huxley,"Huxley, Aldous",4,3.71,368,1939,9/11/24,7, Fiction , Philosophical Fiction,3.71 368 1939
Things Fall Apart,Chinua Achebe,"Achebe, Chinua",4,3.74,215,1958,2/3/23,7, Fiction , Classic ,3.74 215 1958
Tender Is the Night,F. Scott Fitzgerald,"Fitzgerald, F. Scott",4.3,3.77,430,1934,11/10/23,7, Fiction , Classic,3.77 430 1934
Lolita,Vladimir Nabokov,"Nabokov, Vladimir",4.4,3.87,368,1955,2/3/23,7, Fiction , Literary Fiction ,3.87 368 1955
The Centaur,John Updike,"Updike, John",4.8,3.7,304,1963,7/24/24,7, Fiction , Modern Literature,3.7 304 1963
The Green Mile,Stephen King,"King, Stephen",4.5,4.49,592,1996,11/10/23,7, Fiction , Fantasy ,4.49 592 1996
The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",4.6,4.14,607,1994,11/10/23,7, Fiction , Magical Realism,4.14 607 1994
This Side of Paradise,F. Scott Fitzgerald,"Fitzgerald, F. Scott",4.3,3.63,275,1920,11/10/23,7, Fiction , Classic,3.63 275 1920
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,"Thompson, Hunter S.",4.2,4.06,204,1971,2/3/23,7, Fiction , Gonzo Journalism,4.06 204 1971
Steppenwolf,Hermann Hesse,"Hesse, Hermann",4.7,4.13,256,1927,11/10/23,7, Fiction , Philosophical Fiction,4.13 256 1927
Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",4.9,4.1,275,1969,2/3/23,7, Fiction , Science Fiction ,4.1 275 1969
Norwegian Wood,Haruki Murakami,"Murakami, Haruki",4.2,3.99,296,1987,2/3/23,7, Fiction , Romance ,3.99 296 1987
Pale Fire,Vladimir Nabokov,"Nabokov, Vladimir",4,4.17,246,1962,2/3/23,7, Fiction , Poetry ,4.17 246 1962
The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",4,3.8,277,1951,2/3/23,7, Fiction , Classic ,3.8 277 1951
Crash,J.G. Ballard,"Ballard, J.G.",4,3.6,224,1973,11/10/23,7, Fiction , Experimental ,3.6 224 1973
Another Country,James Baldwin,"Baldwin, James",4,4.3,448,1962,11/10/23,7, Fiction , LGBTQ+ Literature,4.3 448 1962
Factotum,Charles Bukowski,"Bukowski, Charles",4,3.92,205,1975,11/10/23,7, Fiction , Semi-autobiographical,3.92 205 1975
Wuthering Heights,Emily Brontë,"Brontë, Emily",4,3.9,464,1847,2/3/23,7, Fiction , Classic ,3.9 464 1847
Cousin Bette,Honoré de Balzac,"Balzac, Honoré de",4.3,3.85,496,1846,12/27/23,7, Fiction , Classic ,3.85 496 1846
Of Mice and Men,John Steinbeck,"Steinbeck, John",4.5,3.89,107,1937,2/3/23,7, Fiction , Classic ,3.89 107 1937
Nostromo,Joseph Conrad,"Conrad, Joseph",4.3,3.81,336,1904,2/3/23,7, Fiction , Classic ,3.81 336 1904
The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",4.2,4.32,1276,1846,11/10/23,7, Fiction , Adventure ,4.32 1276 1846
A Tale of Two Cities,Charles Dickens,"Dickens, Charles",4.1,3.88,489,1859,11/11/23,7, Fiction , Classic ,3.88 489 1859
Emma,Jane Austen,"Austen, Jane",4.8,4.05,474,1815,11/10/23,7, Fiction , Classic ,4.05 474 1815
Heart of Darkness,Joseph Conrad,"Conrad, Joseph",4.7,3.43,188,1899,2/3/23,7, Fiction , Classic ,3.43 188 1899
The Razor's Edge,W. Somerset Maugham,"Maugham, W. Somerset",4.5,4.19,314,1944,11/10/23,7, Fiction , Classic ,4.19 314 1944
Where Angels Fear to Tread,E.M. Forster,"Forster, E.M.",4.3,3.59,148,1905,2/3/23,7, Fiction , Classic ,3.59 148 1905
Germinal,Émile Zola,"Zola, Émile",4.5,4.2,592,1885,11/10/23,7, Fiction , Classic ,4.2 592 1885
Sentimental Education,Gustave Flaubert,"Flaubert, Gustave",4.3,3.81,460,1869,11/10/23,7, Fiction , Classic ,3.81 460 1869
Madame Bovary,Gustave Flaubert,"Flaubert, Gustave",4.2,3.71,329,1856,11/10/23,7, Fiction , Classic ,3.71 329 1856
The Necklace,Guy de Maupassant,"Maupassant, Guy de",4.1,3.84,48,1884,11/10/23,7, Fiction , Short Story ,3.84 48 1884
Against Nature,Joris-Karl Huysmans,"Huysmans, Joris-Karl",4.8,3.8,288,1884,2/8/24,7, Fiction , Decadent Literature,3.8 288 1884
Catch-22,Joseph Heller,"Heller, Joseph",4.7,3.99,453,1961,2/3/23,7, Fiction , Satire ,3.99 453 1961
The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",4.5,4.35,371,2003,11/10/23,7, Fiction , Contemporary ,4.35 371 2003
The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",4.3,4.13,272,1890,1/20/24,7, Fiction , Gothic ,4.13 272 1890
Pnin,Vladimir Nabokov,"Nabokov, Vladimir",4.5,3.88,184,1957,11/10/23,7, Fiction , Literary ,3.88 184 1957
Naked Lunch: The Restored Text,William S. Burroughs,"Burroughs, William S.",4.3,3.46,289,1959,2/3/23,7, Fiction , Experimental ,3.46 289 1959
The House of the Seven Gables,Nathaniel Hawthorne,"Hawthorne, Nathaniel",4.2,3.45,225,1851,2/3/23,7, Fiction , Gothic ,3.45 225 1851
To Kill a Mockingbird,Harper Lee,"Lee, Harper",4.1,4.26,323,1960,2/3/23,7, Fiction , Classic ,4.26 323 1960
Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",4.8,4.12,467,2002,2/3/23,7, Fiction , Magical Realism ,4.12 467 2002
The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark",4.7,3.92,244,1876,11/11/23,7, Fiction , Classic ,3.92 244 1876
Diary of a Madman and Other Stories,Nikolai Gogol,"Gogol, Nikolai",4.5,4.07,84,1835,11/10/23,7, Fiction , Classic ,4.07 84 1835
The Cask of Amontillado,Edgar Allan Poe,"Poe, Edgar Allan",4.3,4.07,24,1846,11/10/23,7, Fiction , Gothic ,4.07 24 1846
Ham on Rye,Charles Bukowski,"Bukowski, Charles",4.5,4.14,288,1982,11/10/23,7, Fiction , Semi-autobiographical,4.14 288 1982
Women,Charles Bukowski,"Bukowski, Charles",4.3,3.8,291,1978,11/10/23,7, Fiction , Semi-autobiographical,3.8 291 1978
The Grapes of Wrath,John Steinbeck,"Steinbeck, John",4.2,4.02,496,1939,2/3/23,7, Fiction , Classic ,4.02 496 1939
The Necklace and Other Stories: Maupassant for Modern Times,Guy de Maupassant,"Maupassant, Guy de",4.1,3.94,336,1884,11/10/23,7, Fiction , Short Stories ,3.94 336 1884
A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",4.8,4,240,1962,2/3/23,7, Fiction , Dystopian ,4 240 1962
Pride and Prejudice,Jane Austen,"Austen, Jane",4.7,4.29,279,1813,2/3/23,7, Fiction , Classic ,4.29 279 1813
The Fall of the House of Usher and Other Tales,Edgar Allan Poe,"Poe, Edgar Allan",4.5,4.17,400,1960,11/10/23,8, Gothic , Short Stories,4.17 400 1960
"On Justice, Power and Human Nature: Selections from The History of the Peloponnesian War",Thucydides,"Thucydides, Thucydides",4.5,3.71,172,1874,11/10/23,9, History , Philosophy,3.71 172 1874
Dracula,Bram Stoker,"Stoker, Bram",4.3,4.02,488,1897,11/10/23,10, Horror , Gothic Fiction,4.02 488 1897
Letters to Milena,Franz Kafka,"Kafka, Franz",4.5,3.92,298,1952,4/11/25,11, Letters , Non-fiction,3.92 298 1952
The Reason for God: Belief in an Age of Skepticism,Timothy J. Keller,"Keller, Timothy J.",4.3,4.23,293,2008,11/10/23,13, Non-fiction , Religion ,4.23 293 2008
The Immortal Life of Henrietta Lacks,Rebecca Skloot,"Skloot, Rebecca",4.2,4.13,370,2010,11/10/23,13, Non-fiction , Biography ,4.13 370 2010
An Essay on Man,Alexander Pope,"Pope, Alexander",4.1,3.7,80,1734,11/10/23,14, Philosophy , Poetry,3.7 80 1734
"Anarchy, State, and Utopia",Robert Nozick,"Nozick, Robert",4.8,3.75,367,1974,11/10/23,14, Philosophy , Political Philosophy,3.75 367 1974
"The History of Sexuality, Volume 2: The Use of Pleasure",Michel Foucault,"Foucault, Michel",4.7,4.06,304,1984,11/10/23,14, Philosophy , Sociology,4.06 304 1984
"The History of Sexuality, Volume 1: An Introduction",Michel Foucault,"Foucault, Michel",4.5,4.02,176,1976,11/10/23,14, Philosophy , Sociology,4.02 176 1976
Phaedo,Plato,"Plato, Plato",4.3,4.07,144,-380,11/10/23,14, Philosophy , Classic,4.07 144 -380
On the Genealogy of Morals,Friedrich Nietzsche,"Nietzsche, Friedrich",4.5,4.12,208,1887,11/10/23,14, Philosophy , Classic,4.12 208 1887
The Republic,Plato,"Plato, Plato",4.3,3.97,416,-400,11/10/23,14, Philosophy , Classic,3.97 416 -400
Fear and Trembling,Søren Kierkegaard,"Kierkegaard, Søren",4.2,4,152,1843,11/10/23,14, Philosophy , Classic ,4 152 1843
Decadence of Industrial Democracies,Bernard Stiegler,"Stiegler, Bernard",4.1,4.12,200,2011,3/20/24,14, Philosophy , Non-fiction ,4.12 200 2011
States of Shock: Stupidity and Knowledge in the 21st Century,Bernard Stiegler,"Stiegler, Bernard",4.8,3.54,274,2012,3/20/24,14, Philosophy , Non-fiction ,3.54 274 2012
The Complete Poems of Emily Dickinson,Emily Dickinson,"Dickinson, Emily",4.7,4.28,716,1890,11/10/23,15, Poetry,,4.28 716 1890
The Poetry of Robert Frost,Robert Frost,"Frost, Robert",4.5,4.24,607,1969,11/10/23,15, Poetry,,4.24 607 1969
Les Fleurs du Mal,Charles Baudelaire,"Baudelaire, Charles",4.5,4.19,365,1857,11/10/23,15, Poetry,,4.19 365 1857
Poetry and Prose,Walt Whitman,"Whitman, Walt",4.3,4.3,1407,1982,2/3/23,15, Poetry,,4.3 1407 1982
The Prelude,William Wordsworth,"Wordsworth, William",4.5,3.88,704,1850,11/10/23,15, Poetry , Classic,3.88 704 1850
Alcools,Guillaume Apollinaire,"Apollinaire, Guillaume",4.3,3.84,185,1913,11/10/23,15, Poetry , French Literature,3.84 185 1913
The Art of Love,Ovid,"Ovid, Ovid",4.2,3.71,199,1,11/10/23,15, Poetry , Classical,3.71 199 1
Love Is a Dog from Hell,Charles Bukowski,"Bukowski, Charles",4.1,3.95,312,1977,11/10/23,15, Poetry , Fiction,3.95 312 1977
Gaspard de la Nuit,Aloysius Bertrand,"Bertrand, Aloysius",4.8,3.76,232,1842,11/10/23,15, Poetry , Prose Poetry,3.76 232 1842
Odes and Epodes,Horatius,"Horatius, Horatius",4.7,4,368,-13,11/10/23,15, Poetry , Classical,4 368 -13
