Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
77013,As I Lay Dying,William Faulkner,"Faulkner, William",,,,0,3.72,Vintage,Paperback,288,1991,1930,,2/3/23,to-read,to-read (#9),to-read,,,,0,0
37781,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"Achebe, Chinua",,,,4,3.74,Anchor Books,Paperback,215,1994,1958,,2/3/23,,,read,,,,1,0
12898,Death of a Salesman,Arthur Miller,"Miller, Arthur",,0435233076,9780435233075,0,3.59,Heinemann ed,Hardcover,144,1994,1949,,2/3/23,to-read,to-read (#8),to-read,,,,0,0
47021,The Taming of the Shrew,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine",074347757X,9780743477574,5,3.74,Simon  Schuster,Mass Market Paperback,291,2004,1593,,2/3/23,,,read,,,,1,0
24128,The Merchant of Venice,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine, David Scott Kastan, Felix Emmanuel Schelling, محمد عناني, David Bevington, Robert          Jackson",0743477561,9780743477567,0,3.77,Simon & Schuster,Mass Market Paperback,249,2011,1596,,2/3/23,to-read,to-read (#7),to-read,,,,0,0
338798,Ulysses,James Joyce,"Joyce, James","Morris L. Ernst, John M. Woolsey",,,0,3.76,Vintage,Paperback,783,1990,1922,,2/3/23,to-read,to-read (#6),to-read,,,,0,0
70401,On the Road,Jack Kerouac,"Kerouac, Jack",,0140042598,9780140042597,3,3.61,Penguin Books,Paperback,307,1976,1957,,2/3/23,,,read,,,,1,0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,,,5,4.39,Alfred A. Knopf,Kindle Edition,592,2006,2005,,2/3/23,,,read,,,,1,0
1617,Night,Elie Wiesel,"Wiesel, Elie","Marion Wiesel, François Mauriac",0374500010,9780374500016,5,4.38,Hill & Wang,Paperback,120,2006,1956,,2/3/23,,,read,,,,1,0
3087,A Room with a View,E.M. Forster,"Forster, E.M.",,1420925431,9781420925432,0,3.89,Digireads.Com,Paperback,119,2005,1908,,2/3/23,to-read,to-read (#5),to-read,,,,0,0
117833,The Master and Margarita,Mikhail Bulgakov,"Bulgakov, Mikhail","Diana Lewis Burgin, Katherine Tiernan O'Connor, Ellendea Proffer, Hans Fronius, Михаил Афанасьевич Булгаков",0679760806,9780679760801,0,4.28,Vintage International,Paperback,372,1996,1967,,2/3/23,to-read,to-read (#4),to-read,,,,0,0
15645,Inferno,Dante Alighieri,"Alighieri, Dante",Anthony Esolen,0812970063,9780812970067,4,4.03,Modern Library,Kindle Edition,490,2022,1321,,2/3/23,,,read,,,,1,0
19380,Candide,Voltaire,"Voltaire, Voltaire","Rockwell Kent, Walter Jerrold, Don Hagen, Sara Gioacchino Corcos",0486266893,9780486266893,4,3.76,"Dover Publications, Incorporated",Paperback,129,1991,1759,,2/3/23,,,read,,,,1,0
17250,The Crucible,Arthur Miller,"Miller, Arthur",Christopher W.E. Bigsby,0142437336,9780142437339,3,3.61,Penguin Books,Paperback,143,2003,1953,,2/3/23,,,read,,,,1,0
41817486,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,0393341763,9780393341768,4,4,W. W. Norton & Company,Paperback,240,2019,1962,,2/3/23,,,read,,,,1,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,0684833395,9780684833392,4,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2/3/23,,,read,,,,1,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,,,4,4.03,Vintage International,Paperback,123,1989,1942,,2/3/23,,,read,,,,0,0
7604,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,,,4,3.87,Penguin,Paperback,368,1995,1955,,2/3/23,,,read,,,,1,0
23942,Queer,William S. Burroughs,"Burroughs, William S.",,0330300164,9780330300162,4,3.49,Picador,Paperback,160,1987,1985,,2/3/23,,,read,,,,1,0
7437,Naked Lunch: The Restored Text,William S. Burroughs,"Burroughs, William S.","James Grauerholz, Barry Miles",0802140181,9780802140180,4,3.46,Grove Press,Paperback,289,2004,1959,,2/3/23,,,read,,,,1,0
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin",,,5,4.3,Houghton Mifflin,Paperback,366,2002,1937,,2/3/23,,,read,,,,1,0
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,,,4,3.97,Simon & Schuster,Kindle Edition,194,2011,1953,,2/3/23,,,read,,,,1,0
1622,A Midsummer Night’s Dream,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine, Alan Durband, Roma Gill, Catherine Belsey, A.R. Braunmuller",0743477545,9780743477543,0,3.94,Simon & Schuster,Mass Market Paperback,298,2016,1595,,2/3/23,to-read,to-read (#3),to-read,,,,0,0
12957,Much Ado About Nothing,William Shakespeare,"Shakespeare, William","Paul Werstine, Gail Kern Paster, Henry Irving, Barbara A. Mowat, Henry Norman Hudson, Frederick S. Boas, F.H. Mares, Robert          Jackson",,,0,4.06,Simon Schuster,Paperback,249,2004,1598,,2/3/23,to-read,to-read (#2),to-read,,,,0,0
12985,The Tempest,William Shakespeare,"Shakespeare, William","Paul Werstine, David Lindley, Israel Gollancz, Barbara A. Mowat, Arthur Wilson Verity, Georg Brandes, G.B. Harrison, William James Rolfe",,,0,3.78,Washington Square Press,Mass Market Paperback,218,2004,1611,,2/3/23,to-read,to-read (#1),to-read,,,,0,0
13006,Julius Caesar,William Shakespeare,"Shakespeare, William","Harold Bloom, Roma Gill, William Allan Neilson",0198320272,9780198320272,4,3.71,Oxford University Press,Paperback,175,2002,1599,,2/3/23,,,read,,,,1,0
12996,Othello,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine",,,4,3.89,Simon & Schuster,Mass Market Paperback,319,2003,1603,,2/3/23,,,read,,,,1,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,0743477111,9780743477116,3,3.74,Washington Square Press,Mass Market Paperback,281,2002,1590,,2/3/23,,,read,,,,1,0
4406,East of Eden,John Steinbeck,"Steinbeck, John",,0142000655,9780142000656,5,4.44,Penguin Books,Paperback,601,2002,1952,,2/3/23,,,read,,,,1,0
18114322,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,067001690X,9780670016907,4,4.03,Viking,Hardcover,496,2014,1939,,2/3/23,,,read,,,,1,0
