Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6656,The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,"Alighieri, Dante","Allen Mandelbaum, Eugenio Montale, Peter Armour, Sandro Botticelli",0679433139,9780679433132,4,4.08,Everyman's Library,Hardcover,798,1995,1320,,11/10/23,,,read,,,,1,0
28407,Germinal,Émile Zola,"Zola, Émile",Roger Pearson,0140447423,9780140447422,4,4.2,Penguin Classics,Paperback,592,2004,1885,,11/10/23,,,read,,,,1,0
51933,Madness and Civilization: A History of Insanity in the Age of Reason,Michel Foucault,"Foucault, Michel",,067972110X,9780679721109,3,4.08,Vintage,Paperback,299,1988,1961,,11/10/23,,,read,,,,1,0
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,0140449264,9780140449266,4,4.32,Penguin Classics,Paperback,1276,2003,1844,,11/10/23,,,read,,,,1,0
381209,Medea (Masters of Latin Literature),Seneca,"Seneca, Seneca",Frederick Ahl,080149432X,9780801494321,3,4.03,Cornell University Press,Paperback,128,1986,-431,,11/10/23,,,read,,,,1,0
830502,It,Stephen King,"King, Stephen",,0450411435,9780450411434,3,4.24,New English Library,Paperback,1184,1987,1986,,11/10/23,,,read,,,,1,0
70241,Crash,J.G. Ballard,"Ballard, J.G.",,0312420331,9780312420338,4,3.6,Picador,Paperback,224,2001,1973,,11/10/23,,,read,,,,1,0
26551,Collected Poems and Other Verse,Stéphane Mallarmé,"Mallarmé, Stéphane","E.H. Blackmore, A.M. Blackmore",019280362X,9780192803627,4,4.21,Oxford University Press,Paperback,320,2006,1899,,11/10/23,,,read,,,,1,0
19104,The Overcoat and Other Short Stories,Nikolai Gogol,"Gogol, Nikolai","Stanley Appelbaum, Isabel Florence Hapgood, Gleb Struve, Mary Struve",0486270572,9780486270579,4,4.2,Dover Publications,Paperback,103,1992,1836,,11/10/23,,,read,,,,1,0
11566,The Green Mile,Stephen King,"King, Stephen",,0451933028,9780451933027,4,4.49,Penguin Signet,Paperback,592,1996,1996,,11/10/23,,,read,,,,1,0
9444,The Complete Collected Poems,Maya Angelou,"Angelou, Maya",,067942895X,9780679428954,3,4.44,Random House,Hardcover,273,1994,1994,,11/10/23,,,read,,,,1,0
10283272,Canne al vento,Grazia Deledda,"Deledda, Grazia",Angela Cerinotti,8844031914,9788844031916,0,3.77,Giunti Demetra,Paperback,256,2006,1913,,9/9/25,to-read,to-read (#157),to-read,,,,0,0
62001844,Lies and Sorcery,Elsa Morante,"Morante, Elsa",,1681376849,9781681376844,0,4.14,NYRB Classics,Paperback,800,2023,1948,,9/9/25,to-read,to-read (#156),to-read,,,,0,0
201821949,The Automatic Fetish: The Law of Value in Marx's Capital,Beverley Best,"Best, Beverley",,1804294802,9781804294802,0,4.33,Verso,Paperback,368,2024,,,9/9/25,to-read,to-read (#155),to-read,,,,0,0
5136,After Many a Summer Dies the Swan,Aldous Huxley,"Huxley, Aldous",,1566630185,9781566630184,4,3.71,Ivan R. Dee,Paperback,368,1993,1939,7/1/25,9/11/24,,,read,,,,1,0
53061,Death in Venice,Thomas Mann,"Mann, Thomas","Michael Henry Heim, Michael Cunningham",0060576170,9780060576172,0,3.69,Ecco,Paperback,142,2005,1911,,9/10/24,currently-reading,currently-reading (#2),currently-reading,,,,1,0
88340,Letters to Milena,Franz Kafka,"Kafka, Franz","Philip Boehm, Aarno Peromies, Milena Jesenská",0805208852,9780805208856,4,3.92,Schocken,Paperback,298,1990,1952,7/1/25,4/11/25,,,read,,,,1,0
213702691,Perfect Victims and the Politics of Appeal,Mohammed El-Kurd,"El-Kurd, Mohammed",,,9798888903155,0,4.78,Haymarket Books,Paperback,256,2025,2025,,7/1/25,to-read,to-read (#154),to-read,,,,0,0
32655112,Lectures on Painting; Delivered to the Students of the Royal Academy,Edward Armitage,"Armitage, Edward",,1374203769,9781374203761,0,5,Wentworth Press,Hardcover,370,2016,,,6/25/25,to-read,to-read (#153),to-read,,,,0,0
257506,"The Western Lands (The Red Night Trilogy, #3)",William S. Burroughs,"Burroughs, William S.",,0140094563,9780140094565,0,4.05,Penguin Books,Paperback,258,1988,1987,,5/26/25,to-read,to-read (#152),to-read,,,,0,0
23944,"Cities of the Red Night (The Red Night Trilogy, #1)",William S. Burroughs,"Burroughs, William S.",,0312278462,9780312278465,0,3.75,Picador,Paperback,332,1981,1981,,5/26/25,to-read,to-read (#151),to-read,,,,0,0
24509,"The Place of Dead Roads (The Red Night Trilogy, #2)",William S. Burroughs,"Burroughs, William S.",,0312278659,9780312278656,0,3.87,Picador,Paperback,306,2001,1983,,5/26/25,to-read,to-read (#150),to-read,,,,0,0
6413281,Mural,Mahmoud Darwish,"Darwish, Mahmoud","John Berger, Rema Hammami",184467410X,9781844674107,0,4.3,Verso,Hardcover,69,2009,2000,,4/29/25,currently-reading,currently-reading (#1),currently-reading,,,,1,0
37415,Their Eyes Were Watching God,Zora Neale Hurston,"Hurston, Zora Neale",,0061120065,9780061120060,0,3.99,Amistad,Paperback,238,2006,1937,,5/14/25,to-read,to-read (#149),to-read,,,,0,0
28297,Species of Spaces and Other Pieces,Georges Perec,"Perec, Georges",John Sturrock,0140189866,9780140189865,0,4.26,Penguin Group USA,Paperback,292,1998,1974,,4/29/25,to-read,to-read (#148),to-read,,,,0,0
10216066,Cathay (1915),Ezra Pound,"Pound, Ezra","Ernest Fenollosa, Li Bai",116392573X,9781163925737,0,3.92,Kessinger Publishing,Paperback,32,2010,1915,,4/23/25,to-read,to-read (#147),to-read,,,,0,0
27494,Leaves of Grass,Walt Whitman,"Whitman, Walt",,,,5,4.11,Simon  Schuster,Paperback,624,2006,1855,,2/3/23,favorites,favorites (#11),read,,,,1,0
168499,A Season in Hell,Arthur Rimbaud,"Rimbaud, Arthur","Paul Schmidt, Robert Mapplethorpe",0821224581,9780821224588,5,4.07,Bulfinch,Hardcover,95,1998,1873,,4/13/25,favorites,favorites (#10),read,,,,1,0
438078,Victory,Joseph Conrad,"Conrad, Joseph",Robert Hampson,0140189785,9780140189780,0,3.84,Penguin Classics,Paperback,410,1995,1915,,4/11/25,to-read,to-read (#146),to-read,,,,0,0
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann","Hilda Rosner, Zigmantas Ardickas",,,4,4.08,Bantam Books,Mass Market Paperback,152,1981,1922,4/11/25,9/10/24,,,read,,,,1,0
14744397,Generative Energy: Protecting and Restoring the Wholeness of Life,Raymond Peat,"Peat, Raymond",,,,0,4.47,,Paperback,151,1994,1994,,3/29/25,to-read,to-read (#145),to-read,,,,0,0
6043928,Auto de fe,Elias Canetti,"Canetti, Elias","S.A. Círculo de Lectores, Juan José del Solar Bardelli",8497936787,9788497936781,0,4.02,Debolsillo,Mass Market Paperback,624,2026,1935,,9/14/24,to-read,to-read (#144),to-read,,,,0,0
99483,"Confessions of Felix Krull, Confidence Man: The Early Years",Thomas Mann,"Mann, Thomas",,0679739041,9780679739043,0,3.83,Knopf Doubleday Publishing Group,Paperback,400,1992,1954,,9/11/24,to-read,to-read (#143),to-read,,,,0,0
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,0571268862,9780571268863,5,4.05,Harper Perennial Modern Classics,Paperback,294,2006,1963,,2/3/23,on-hold,on-hold (#4),read,,,,2,0
85384,The Centaur,John Updike,"Updike, John",,0449912167,9780449912164,4,3.7,Random House Trade Paperbacks,Paperback,304,1996,1963,9/2/24,7/24/24,,,read,,,,1,0
54479,Around the World in Eighty Days,Jules Verne,"Verne, Jules","Brian W. Aldiss, Michael Glencross",014044906X,9780140449068,3,3.95,Penguin Books ,Paperback,252,2004,1872,,11/10/23,,,read,,,,1,0
335140,Death of a Naturalist,Seamus Heaney,"Heaney, Seamus",,0571202403,9780571202409,0,4.26,Faber & Faber,Paperback,57,1999,1966,,6/19/24,to-read,to-read (#142),to-read,,,,0,0
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,,,4,4.13,Random House: Modern Library,Paperback,272,2004,1890,6/13/24,1/20/24,,,read,,,,1,0
406235,Giovanni’s Room,James Baldwin,"Baldwin, James",,,,5,4.34,Laurel,Paperback,178,1988,1956,5/9/24,1/20/24,favorites,favorites (#9),read,,,,1,0
23745291,States of Shock: Stupidity and Knowledge in the 21st Century,Bernard Stiegler,"Stiegler, Bernard",,0745664938,9780745664934,4,3.54,Polity,Hardcover,274,2015,2012,4/10/24,3/20/24,,,read,,,,1,0
198980,Classes in Contemporary Capitalism,Nicos Poulantzas,"Poulantzas, Nicos",,0805270116,9780805270112,4,3.62,Schocken Books,Paperback,0,1978,1973,3/20/24,3/20/24,,,read,,,,1,0
580599,The Future Lasts Forever: A Memoir,Louis Althusser,"Althusser, Louis","Olivier Corpet, Yann Moulier-Boutang",1565842782,9781565842786,0,3.87,The New Press,Paperback,384,1995,1992,,3/19/24,to-read,to-read (#141),to-read,,,,0,0
979929,"Race, Nation, Class: Ambiguous Identities",Étienne Balibar,"Balibar, Étienne",Immanuel Wallerstein,0860915425,9780860915423,4,3.9,Verso,Paperback,242,1991,1988,,3/6/24,,,read,,,,2,0
54909,World-Systems Analysis: An Introduction,Immanuel Wallerstein,"Wallerstein, Immanuel",,0822334429,9780822334422,3,3.93,Duke University Press,Paperback,110,2004,2004,2/27/24,2/23/24,,,read,,,,1,0
26694,Empire,Hardt,"Hardt, Hardt",Antonio Negri,0674006712,9780674006713,4,3.77,Harvard University Press,Paperback,478,2001,2000,2/23/24,2/19/24,,,read,,,,1,0
535739,Dream of the Red Chamber,Cao Xueqin,"Xueqin, Cao",Chi-chen Wang,0385093799,9780385093798,0,4,Anchor,Paperback,329,1958,1791,,11/10/23,"on-hold, to-read","on-hold (#3), to-read (#140)",to-read,,,,0,0
92965,"The Belly of Paris (Les Rougon-Macquart, #3)",Émile Zola,"Zola, Émile",Ernest Alfred Vizetelly,1933382724,9781933382722,0,3.93,Green Integer,Paperback,660,2006,1873,,2/8/24,"on-hold, to-read","on-hold (#2), to-read (#139)",to-read,,,,0,0
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude, Dieter Wellershoff, Bruno Goetz, Lev Tolstoj, Léon Tolstoï",0345803922,9780345803924,0,4.1,Vintage,Paperback,964,2012,1878,,2/3/23,"on-hold, to-read","on-hold (#1), to-read (#138)",to-read,,,,1,0
379701,The Civilizing Process,Norbert Elias,"Elias, Norbert",,0631221611,9780631221616,4,4.24,Wiley-Blackwell,Paperback,592,2000,1939,2/23/24,2/19/24,,,read,,,,1,0
269894,A Simple Heart,Gustave Flaubert,"Flaubert, Gustave",Arthur McDowall,0811213188,9780811213189,3,3.45,New Directions,Paperback,68,1996,1877,,11/10/23,,,read,,,,1,0
210255,Against Nature,Joris-Karl Huysmans,"Huysmans, Joris-Karl","Patrick McGuiness, Robert Baldick",0140447636,9780140447637,4,3.8,Penguin Classics,Paperback,288,2004,1884,2/8/24,2/8/24,,,read,,,,1,0
13229270,The Sovereignty of Quiet: Beyond Resistance in Black Culture,Kevin Quashie,"Quashie, Kevin",,0813553105,9780813553108,0,4.64,Rutgers University Press,Paperback,204,2012,2012,,2/8/24,to-read,to-read (#137),to-read,,,,0,0
1772910,White Nights,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Olga Shartse, Fyodor Dostoyevsky",,,0,4.08,,Paperback,82,1848,1848,,11/10/23,"to-read, next-to-read","to-read (#72), next-to-read (#3)",to-read,,,,0,0
151809,The Rose That Grew From Concrete,Tupac Shakur,"Shakur, Tupac",,0671028448,9780671028442,0,4.41,MTV Books,Hardcover,176,1999,1999,,1/24/24,to-read,to-read (#136),to-read,,,,0,0
129223,The Well of Loneliness,Radclyffe Hall,"Hall, Radclyffe",,,,0,3.77,Wordsworth Editions Ltd,Paperback,448,2014,1928,,1/20/24,to-read,to-read (#135),to-read,,,,0,0
18839,Orlando,Virginia Woolf,"Woolf, Virginia","Sandra M. Gilbert, Brenda Lyons",0141184272,9780141184272,0,3.87,Modern Classics,Paperback,336,2000,1928,,1/20/24,to-read,to-read (#134),to-read,,,,0,0
328208,The Thief's Journal,Jean Genet,"Genet, Jean","Bernard Frechtman, Jean-Paul Sartre",0802130143,9780802130143,5,3.93,Grove Press,Paperback,268,1994,1949,,11/10/23,,,read,,,,2,0
157685,Les Chants de Maldoror,Comte de Lautréamont,"Lautréamont, Comte de","Guy Wernham, Nataliya Mavlevich",0811200825,9780811200820,0,4.14,New Directions,Paperback,342,1965,1869,,1/20/24,to-read,to-read (#133),to-read,,,,0,0
152121,Blue of Noon,Georges Bataille,"Bataille, Georges",Harry Mathews,0714530735,9780714530734,0,3.73,Marion Boyars,Paperback,162,2002,1935,,1/20/24,to-read,to-read (#132),to-read,,,,0,0
109713,City of Night,John Rechy,"Rechy, John",,0802130836,9780802130839,0,3.94,"Grove Press/Grove Atlantic, Inc.",Paperback,400,1994,1963,,1/20/24,to-read,to-read (#131),to-read,,,,0,0
436806,Story of the Eye,Georges Bataille,"Bataille, Georges",Joachim Neugroschel,0872862097,9780872862098,0,3.64,City Lights Publishers,Paperback,103,1987,1928,,1/20/24,to-read,to-read (#130),to-read,,,,0,0
342049,Growth of the Soil,Knut Hamsun,"Hamsun, Knut",,0394717813,9780394717814,0,4.22,Vintage,Mass Market Paperback,435,1972,1917,,1/20/24,to-read,to-read (#129),to-read,,,,0,0
137252,Under the Autumn Star,Knut Hamsun,"Hamsun, Knut","Oliver Stallybrass, Gunnvor Stallybrass",1557133433,9781557133434,0,3.8,Sun & Moon Press,Paperback,116,1998,1906,,1/20/24,to-read,to-read (#128),to-read,,,,0,0
32585,Hunger,Knut Hamsun,"Hamsun, Knut",,0486431681,9780486431680,0,4.04,Dover Publications,Paperback,134,2003,1890,,1/20/24,to-read,to-read (#127),to-read,,,,0,0
33876557,Drinking,John Cheever,"Cheever, John",,1784872644,9781784872649,0,3.72,Random House Uk,Paperback,128,2017,2017,,1/10/24,to-read,to-read (#126),to-read,,,,0,0
58617474,The Scarlet Moving Van,John Cheever,"Cheever, John",,,,0,4.22,The New Yorker,Unknown Binding,20,1959,1959,,1/10/24,to-read,to-read (#125),to-read,,,,0,0
1234382,The Swimmer,John Cheever,"Cheever, John",,0517125870,9780517125878,0,4.04,Random House Value Publishing,Hardcover,12,1994,1964,,1/10/24,to-read,to-read (#124),to-read,,,,0,0
247329,Poésies complètes,Arthur Rimbaud,"Rimbaud, Arthur",,,,5,4.32,Le Livre de Poche,Mass Market Paperback,288,1998,1872,,11/10/23,favorites,favorites (#8),read,,,,1,0
50033,Dandelion Wine,Ray Bradbury,"Bradbury, Ray",,0671037706,9780671037703,5,4.09,Earthlight (UK) ,Paperback,239,2000,1957,,11/10/23,favorites,favorites (#7),read,,,,1,0
1519706,Poèmes saturniens,Paul Verlaine,"Verlaine, Paul",,,,5,4.05,Le Livre de Poche,Mass Market Paperback,222,1996,1866,,11/10/23,favorites,favorites (#6),read,,,,1,0
8852,Macbeth,William Shakespeare,"Shakespeare, William","Folger Shakespeare Library, Barbara A. Mowat, Paul Werstine",0743477103,9780743477109,5,3.89,Simon & Schuster,Mass Market Paperback,249,2013,1623,,2/3/23,favorites,favorites (#5),read,,,,1,0
18920654,Go Tell It on the Mountain,James Baldwin,"Baldwin, James",,0345806557,9780345806550,0,4.05,Vintage,Kindle Edition,242,2013,1953,,1/10/24,to-read,to-read (#123),to-read,,,,0,0
9484,"Within a Budding Grove (In Search of Lost Time, #2)",Marcel Proust,"Proust, Marcel","C.K. Scott Moncrieff, Terence Kilmartin, D.J. Enright",0375752196,9780375752193,0,4.39,Modern Library,Paperback,749,1998,1919,,1/10/24,to-read,to-read (#122),to-read,,,,0,0
10845531,Suicide,Édouard Levé,"Levé, Édouard",Jan Steyn,1564786285,9781564786289,0,4.11,Dalkey Archive Press,Paperback,128,2014,2008,,1/10/24,to-read,to-read (#121),to-read,,,,0,0
35750,"Sodom and Gomorrah (In Search of Lost Time, #4)",Marcel Proust,"Proust, Marcel","C.K. Scott Moncrieff, Terence Kilmartin, D.J. Enright",0375753109,9780375753107,0,4.32,Modern Library Classics,Paperback,784,1999,1922,,1/10/24,to-read,to-read (#120),to-read,,,,0,0
6798263,Bluets,Maggie Nelson,"Nelson, Maggie",,1933517409,9781933517407,0,4.05,Wave Books,Paperback,112,2009,2009,,1/10/24,to-read,to-read (#119),to-read,,,,0,0
59144,Cousin Bette,Honoré de Balzac,"Balzac, Honoré de","Francine Prose, Kathleen Raine",0375759077,9780375759079,4,3.85,Random House Publishing Group,Paperback,496,2002,1846,1/5/24,12/27/23,,,read,,,,1,0
15997,Paradise Lost,John Milton,"Milton, John",,0140424393,9780140424393,4,3.85,Penguin Classics,Paperback,453,2003,1667,,2/3/23,next-to-read,next-to-read (#1),read,,,,0,0
31548,Of Human Bondage,W. Somerset Maugham,"Maugham, W. Somerset","Maeve Binchy, Benjamin DeMott",0451530179,9780451530172,5,4.16,Signet,Mass Market Paperback,684,2007,1915,,2/3/23,favorites,favorites (#4),read,,,,1,0
2122,The Fountainhead,Ayn Rand,"Rand, Ayn",Leonard Peikoff,,,0,3.89,Signet Book,Mass Market Paperback,704,1996,1943,,12/27/23,to-read,to-read (#118),to-read,,,,0,0
662,Atlas Shrugged,Ayn Rand,"Rand, Ayn",Leonard Peikoff,0452011876,9780452011878,0,3.69,Plume,Paperback,1168,1999,1957,,12/27/23,to-read,to-read (#117),to-read,,,,0,0
929,Memoirs of a Geisha,Arthur Golden,"Golden, Arthur",,1400096898,9781400096893,0,4.16,Vintage Books USA,Mass Market Paperback,503,2005,1997,,12/27/23,to-read,to-read (#116),to-read,,,,0,0
2998,The Secret Garden,Frances Hodgson Burnett,"Burnett, Frances Hodgson",,0517189607,9780517189603,0,4.17,Children's Classics,Hardcover,331,1998,1911,,12/27/23,to-read,to-read (#115),to-read,,,,0,0
24178,Charlotte’s Web,E.B. White,"White, E.B.","Garth Williams, Rosemary Wells",0064410935,9780064410939,0,4.21,HarperCollinsPublishers,Paperback,184,2001,1952,,12/27/23,,,read,,,,1,0
370493,The Giving Tree,Shel Silverstein,"Silverstein, Shel",,0060256656,9780060256654,0,4.39,HarperCollins Publishers,Hardcover,64,1964,1964,,12/27/23,,,read,,,,1,0
32951,Sister Outsider: Essays and Speeches,Audre Lorde,"Lorde, Audre",,0895941414,9780895941411,0,4.53,Crossing Press,Paperback,190,1984,1984,,12/27/23,to-read,to-read (#114),to-read,,,,0,0
395090,Ariel,Sylvia Plath,"Plath, Sylvia",,0060931728,9780060931728,5,4.19,Harper Perennial Modern Classics,Paperback,128,2018,1965,,11/10/23,favorites,favorites (#3),read,,,,1,0
17690,The Trial,Franz Kafka,"Kafka, Franz","Max Brod, Willa Muir, Edwin Muir",,,5,3.94,Vintage,Paperback,255,2001,1925,,2/3/23,favorites,favorites (#2),read,,,,1,0
1420,Hamlet,William Shakespeare,"Shakespeare, William","Harold Bloom, Rex Gibson, Israel Gollancz, Henry Norman Hudson, L.A. Sherman, Max J. Herzberg",0521618746,9780521618748,5,4.03,Cambridge University Press,Paperback,289,2005,1601,,2/3/23,,,read,,,,1,0
80410,Four Quartets,T.S. Eliot,"Eliot, T.S.",,0571068944,9780571068944,5,4.37,Faber & Faber,Paperback,56,2001,1943,,12/27/23,favorites,favorites (#1),read,,,,1,0
1878,"The History of Sexuality, Volume 2: The Use of Pleasure",Michel Foucault,"Foucault, Michel","Robert Hurley, Zlatko Wurzberg",0394751221,9780394751221,4,4.06,Vintage,Paperback,304,1990,1984,12/27/23,11/10/23,,,read,,,,1,0
399136,Imagined Communities: Reflections on the Origin and Spread of Nationalism,Benedict Anderson,"Anderson, Benedict",,0860915468,9780860915461,0,4.11,Verso/New Left Books Ltd.,Paperback,224,1991,1983,,11/28/23,to-read,to-read (#113),to-read,,,,0,0
29044,The Secret History,Donna Tartt,"Tartt, Donna",,1400031702,9781400031702,0,4.15,Vintage Books,Paperback,559,2004,1992,,11/25/23,to-read,to-read (#112),to-read,,,,0,0
90192,The House of the Seven Gables,Nathaniel Hawthorne,"Hawthorne, Nathaniel",Robert S. Levine,0393924769,9780393924763,4,3.45,W. W. Norton & Company,Paperback,225,2005,1851,11/22/23,2/3/23,,,read,,,,1,0
115476,Nostromo,Joseph Conrad,"Conrad, Joseph",,0486424529,9780486424521,4,3.81,Dover Thrift Editions,Paperback,336,2002,1904,11/22/23,2/3/23,,,read,,,,1,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,1400078776,9781400078776,0,3.85,Vintage Books ,Paperback,288,2010,2005,,11/22/23,to-read,to-read (#111),to-read,,,,0,0
194740,The Setting Sun,Osamu Dazai,"Dazai, Osamu",Donald Keene,0811200329,9780811200325,0,3.97,New Directions,Paperback,175,2020,1947,,11/19/23,to-read,to-read (#110),to-read,,,,0,0
62334530,None of This Is True,Lisa Jewell,"Jewell, Lisa",,1982179007,9781982179007,0,4.08,Atria Books,Hardcover,390,2023,2023,,11/13/23,to-read,to-read (#109),to-read,,,,0,0
166177788,Pretty Boys Are Poisonous: Poems,Megan Fox,"Fox, Megan",,1668050412,9781668050415,0,3.73,Gallery Books,Hardcover,176,2023,2023,,11/13/23,to-read,to-read (#108),to-read,,,,0,0
2794,The Crying of Lot 49,Thomas Pynchon,"Pynchon, Thomas",,,,0,3.69,Harper Perennial Modern Classics,Paperback,152,2006,1966,,11/11/23,to-read,to-read (#107),to-read,,,,0,0
141158749,On the Road,Jack Kerouac,"Kerouac, Jack",,,,5,3.9,,Kindle Edition,327,2023,,,11/11/23,,,read,,,,1,0
1953,A Tale of Two Cities,Charles Dickens,"Dickens, Charles",,0141439602,9780141439600,4,3.88,Penguin Books,Paperback,489,2003,1859,,11/11/23,,,read,,,,1,0
51497,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,Robert Louis Stevenson,"Stevenson, Robert Louis",Robert Mighall,0141439734,9780141439730,0,3.91,Penguin Classics,Paperback,224,2003,1886,,11/11/23,to-read,to-read (#106),to-read,,,,0,0
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye, Mark Hallaq, Amanda Lee",,9780143039563,4,3.92,Penguin Classics,Paperback,244,2006,1876,,11/11/23,,,read,,,,1,0
17689,Franz Kafka's The Castle (Dramatization),David Fishelson,"Fishelson, David","Aaron Leichter, Max Brod, Franz Kafka",082221900X,9780822219002,5,4.1,"Dramatists Play Service, Inc.",Paperback,59,2003,2003,,11/11/23,,,read,,,,1,0
27822,Eugene Onegin,Alexander Pushkin,"Pushkin, Alexander",James E. Falen,,,0,4.1,Oxford University Press,Paperback,240,1998,1831,,11/11/23,to-read,to-read (#105),to-read,,,,0,0
18521,A Room of One’s Own,Virginia Woolf,"Woolf, Virginia",,,,0,4.22,Penguin Books,Paperback,112,2000,1929,,11/11/23,to-read,to-read (#104),to-read,,,,0,0
4825580,The Poetry of Rilke,Rainer Maria Rilke,"Rilke, Rainer Maria","Edward Snow, Adam Zagajewski",0374235317,9780374235314,5,4.15,North Point Press,Hardcover,720,2009,1978,,11/11/23,,,read,,,,1,0
138134,The Complete Poems,John Keats,"Keats, John",,0679601082,9780679601081,0,4.25,Modern Library,Hardcover,416,1994,1820,,11/11/23,to-read,to-read (#103),to-read,,,,0,0
76889,100 Selected Poems,E.E. Cummings,"Cummings, E.E.",,0802130720,9780802130723,0,4.28,Grove Press,Paperback,121,1994,1923,,11/11/23,to-read,to-read (#102),to-read,,,,0,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,0439686520,9780439686525,4,4.5,Scholastic Inc.,Paperback,870,2004,2003,,11/10/23,,,read,,,,1,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,,,5,4.58,Scholastic Inc,Paperback,652,2006,2005,,11/10/23,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,0439139597,9780439139595,5,4.57,Scholastic,Paperback,734,2002,2000,,11/10/23,,,read,,,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,,,4,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,11/10/23,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,4,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,,11/10/23,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,043965548X,9780439655484,5,4.58,Scholastic Inc.,Mass Market Paperback,547,2004,1999,,11/10/23,,,read,,,,1,0
42844155,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",Olly Moss,,,4,4.47,Pottermore Publishing,Kindle Edition,333,2015,1997,,11/10/23,,,read,,,,0,0
1294681,And Still I Rise,Maya Angelou,"Angelou, Maya",,0860687570,9780860687573,5,4.39,Virago,Paperback,112,2009,1978,,11/10/23,,,read,,,,1,0
4016515,Letter to My Daughter,Maya Angelou,"Angelou, Maya",,1400066123,9781400066124,0,4.09,Random House,Hardcover,192,2008,1987,,11/10/23,to-read,to-read (#101),to-read,,,,0,0
35852435,Becoming Supernatural: How Common People are Doing the Uncommon,Joe Dispenza,"Dispenza, Joe",,1401953107,9781401953102,0,4.25,Hay House LLC,Kindle Edition,375,2017,2017,,11/10/23,to-read,to-read (#100),to-read,,,,0,0
41580312,Be Here Now,Ram Dass,"Dass, Ram",,,,5,4.34,HarperOne,Kindle Edition,116,2010,1971,,11/10/23,,,read,,,,1,0
275506,Selected Writings,Guillaume Apollinaire,"Apollinaire, Guillaume",,0811200035,9780811200035,0,4.14,New Directions,Paperback,284,1971,1971,,11/10/23,to-read,to-read (#99),to-read,,,,0,0
275510,Calligrammes: Poems of Peace and War (1913-1916),Guillaume Apollinaire,"Apollinaire, Guillaume","Anne Hyde Greet, S.I. Lockerbie",0520242122,9780520242128,0,4.04,University of California Press,Paperback,525,2004,1918,,11/10/23,to-read,to-read (#98),to-read,,,,0,0
13651,The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,"Guin, Ursula K. Le",,,,0,4.26,Harper Voyager,Paperback,387,1994,1974,,11/10/23,to-read,to-read (#97),to-read,,,,0,0
13662,"The Tombs of Atuan (Earthsea Cycle, #2)",Ursula K. Le Guin,"Guin, Ursula K. Le",,0689845367,9780689845369,0,4.14,Aladdin Paperbacks,Mass Market Paperback,180,2001,1971,,11/10/23,to-read,to-read (#96),to-read,,,,0,0
13642,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",,,,4,4.01,,Paperback,183,2004,1968,,11/10/23,,,read,,,,1,0
29142809,Burnt Norton,T.S. Eliot,"Eliot, T.S.",,,,0,4.45,faber and faber,Paperback,6,1941,1935,,11/10/23,to-read,to-read (#95),to-read,,,,0,0
2696,The Canterbury Tales,Geoffrey Chaucer,"Chaucer, Geoffrey",Nevill Coghill,0140424385,9780140424386,3,3.53,Penguin Books,Paperback,504,2003,1400,,11/10/23,,,read,,,,1,0
