Date,Title,Author1,Genre1,Length,Rating,CountTotal,Count90,Count00,Count10,Count20,Genre,Author,Books
1997,Pretend You Don't See Her,Mary Higgins Clark,Mystery,305,3.9,,,,,,,,
1997,Cat and Mouse,James Patterson,Mystery,416,4.02,,,,,,,,
1997,Hornet's Nest,Patricia Cornwell,Mystery,369,3.38,,,,,,,,
1998,The Street Lawyer,John Grisham,Thriller,384,3.88,,,,,,,,
1998,Rainbow Six,Tom Clancy,Thriller,912,4.12,,,,,,,,
1998,Bag of Bones,Stephen King,Horror,736,3.92,,,,,,,,
1998,A Man in Full,Tom Wolfe,Classics,704,3.87,,,,,,,,
1998,Mirror Image,Danielle Steel,Romance,576,3.91,,,,,,,,
1998,The Long Road Home,Danielle Steel,Romance,476,4.03,,,,,,,,
1998,The Klone and I,Danielle Steel,Romance,245,3.01,,,,,,,,
1998,Point of Origin,Patricia Cornwell,Mystery,440,4.04,,,,,,,,
1998,Paradise,Toni Morrison,Classics,318,3.85,,,,,,,,
1998,All Through the Night,Mary Higgins Clark,Religious,256,3.74,,,,,,,,
1999,The Testament,John Grisham,Thriller,533,3.9,,,,,,,,
1999,Hannibal,Thomas Harris,Horror,564,3.81,,,,,,,,
1999,Assassins,Tim LaHaye,Religious,448,4.01,,,,,,,,
1999,"Star Wars: Episode 1, The Phantom Menace",Terry Brooks,Sci-Fi,336,3.63,,,,,,,,
1999,Timeline,Michael Crichton,Sci-Fi,489,3.87,,,,,,,,
1999,Hearts in Atlantis,Stephen King,Horror,640,3.85,,,,,,,,
1999,Apollyon,Tim LaHaye,Religious,480,3.99,,,,,,,,
1999,The Girl Who Loved Tom Gordon,Stephen King,Horror,264,3.63,,,,,,,,
1999,Irresistible Forces,Danielle Steel,Romance,400,3.81,,,,,,,,
1999,Tara Road,Maeve Binchy,Romance,648,3.93,,,,,,,,
2000,The Brethren,John Grisham,Thriller,440,3.76,,,,,,,,
